Angle (Deg),WP05_1,WP05_2,WP05_3,WP06_1,WP06_2,WP06_3
90,2.7437E-14,4.34994E-14,3.95439E-14,2.7356E-14,3.65461E-14,3.47244E-14
88,15.63137987,24.7824467,22.5288815,15.58520784,20.82100483,19.7831636
86,31.24371532,49.53469981,45.03031503,31.15142751,41.61664248,39.54222446
84,46.81798511,74.22660252,67.47688606,46.67969396,62.36157666,59.25310922
82,62.3352144,98.82807155,89.8412469,62.15108839,83.03053286,78.89180318
80,77.77649783,123.3091338,112.09615,77.54676129,103.5983291,98.43437964
78,93.12302258,147.6399629,134.2144812,92.84795542,124.0399068,117.857029
76,108.3560913,171.7909154,156.1692928,108.0360286,144.330361,137.1360877
74,123.4571448,195.7325671,177.9338361,123.0924765,164.4449708,156.2480672
72,138.4077847,219.4357489,199.4815945,137.9989552,184.3592298,175.1696824
70,153.1897961,242.871582,220.7863152,152.7373035,204.0488755,193.8778805
68,167.7851694,266.0115134,241.8220419,167.2895648,223.489919,212.3498682
66,182.1761222,288.8273509,262.5631456,181.6380096,242.6586745,230.5631402
64,196.3451215,311.2912967,282.9843566,195.7651565,261.5317878,248.4955066
62,210.2749046,333.375982,303.0607948,209.6537937,280.0862649,266.1251196
60,223.9485,355.0545,322.768,223.287,298.2995,283.4305
58,237.3492487,376.3004388,342.0819622,236.6481655,316.1493031,300.390564
56,250.4608239,397.0879135,360.9791501,249.7210117,333.613927,316.9846485
54,263.2672511,417.3915977,379.4365406,262.4896113,350.6720937,333.1925359
52,275.7529278,437.1867546,397.4316461,274.9384077,367.3030205,348.9944796
50,287.902642,456.4492667,414.9425424,287.052234,383.4864452,364.3712272
48,299.7015912,475.1556658,431.9478951,298.8163314,399.2026506,379.3040447
46,311.1354002,493.2831608,448.4269858,310.2163671,414.4324892,393.7747385
44,322.1901386,510.8096663,464.3597374,321.238452,429.1574055,407.7656786
42,332.8523379,527.7138289,479.7267381,331.8691573,443.3594597,421.2598189
40,343.1090079,543.9750535,494.5092656,342.0955311,457.0213487,434.2407191
38,352.9476525,559.5735282,508.6893098,351.9051143,470.1264276,446.6925638
36,362.3562847,574.4902489,522.2495945,361.2859552,482.6587298,458.6001824
34,371.3234416,588.7070416,535.1735984,370.2266249,494.6029867,469.9490674
32,379.8381981,602.2065855,547.4455758,378.7162305,505.9446461,480.7253918
30,387.8901803,614.9724335,559.0505751,386.7444287,516.6698899,490.9160264
28,395.469578,626.9890322,569.9744573,394.3014383,526.765651,500.5085554
26,402.567157,638.2417414,580.2039135,401.3780524,536.2196292,509.4912919
24,409.1742698,648.7168514,589.7264805,407.9656492,545.0203065,517.8532917
22,415.2828669,658.4015998,598.5305567,414.0562027,553.1569605,525.584367
20,420.8855058,667.2841873,606.6054157,419.6422924,560.6196779,532.6750987
18,425.9753605,675.3537917,613.9412193,424.7171127,567.3993666,539.1168479
16,430.5462298,682.6005816,620.5290301,429.2744806,573.4877665,544.9017662
14,434.5925449,689.0157279,626.360822,433.3088437,578.87746,550.0228057
12,438.1093759,694.5914146,631.4294896,436.8152867,583.5618805,554.4737271
10,441.0924382,699.3208487,635.7288576,439.7895375,587.5353206,558.2491077
